invoiceno,stokawal,stokakhir,namabarang,jenisbarang,kodebarang,kuantitasbarang,month,day,year,cluster
787144,5,1,Urug,26,18393A,4,12,21,2022,Sangat Laris
787144,70,56,"PVC RUCIKA type AW 1 1/4""",13,99992C,14,12,21,2022,Laris
787144,58,46,"Tembok Sun Eui dia. 1/2""",6,10031B,12,12,21,2022,Laris
787144,84,67,Gembok Besar,17,12713A,17,12,21,2022,Laris
787144,1,0,Urug,15,10005B,1,12,21,2022,Laris
787145,166,157,Ringan,30,10017B,9,12,22,2022,Sangat Laris
787146,155,145,Beton 8mm,11,10018B,10,12,22,2022,Laris
787146,247,236,Gresik,22,12111A,11,12,22,2022,Sangat Laris
787146,18,6,"Alumunium Natural 1.3 mm t= 1,3 mm ( 4 "" )",29,37483A,12,12,22,2022,Sangat Laris
787146,1000,979,Biasa,15,11111A,21,12,22,2022,Laris
787146,236,224,Gresik,22,12111A,12,12,22,2022,Sangat Laris
787146,142,139,Vinillex,0,12211A,3,12,22,2022,Laris
787146,83,73,seng 8,1,12221A,10,12,22,2022,Laris
787146,23,3,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,20,12,22,2022,Laris
787146,27,15,"Readymix Beton K500, Tanpa Pompa",27,12311A,12,12,22,2022,Sangat Laris
787146,24,14,Kasa 1 x 1 ( Putih ),5,12321A,10,12,22,2022,Laris
787146,123,111,Dextone Epoxy Adhesives,23,13221A,12,12,22,2022,Sangat Laris
787146,10,7,Zehn Cangcul,24,12214A,3,12,22,2022,Sangat Laris
787146,46,31,sarung tangan kain ,16,17381A,15,12,22,2022,Laris
787146,40,28,Zehn Sekop Gagang Besi,3,19302A,12,12,22,2022,Laris
787146,119,105,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,14,12,22,2022,Sangat Laris
787146,2000,1975,Bata Merah Bakar kelas I,30,13823A,25,12,22,2022,Sangat Laris
787146,92,80,Beton 6mm,11,15372A,12,12,22,2022,Laris
787146,154,139,Jabesmen Gelombang Kecil (150 x 105),2,15283A,15,12,22,2022,Laris
787146,139,135,Vinillex,0,12211A,4,12,22,2022,Laris
787146,88,74,"beton 2,5 ",1,10008B,14,12,22,2022,Laris
787146,139,135,Jabesmen Gelombang Kecil (150 x 105),2,15283A,4,12,22,2022,Laris
787146,25,13,Zehn Sekop Gagang Kayu,3,10015B,12,12,22,2022,Laris
787146,5,3,BJLS 30 Lebar 60cm,4,12947A,2,12,22,2022,Laris
787146,53,48,Duri,5,66653E,5,12,22,2022,Laris
787147,26,20,Stainless Lokal Kait,6,24628A,6,12,27,2022,Laris
787147,13,5,Gator Bak Mandi Plastik Persegi Ivory 56x56x56cm,7,11231A,8,12,27,2022,Laris
787147,35,26,Pas,8,23948A,9,12,27,2022,Laris
787147,294,291,Murando Natural 1m2 = 18 bh,9,56546D,3,12,27,2022,Laris
787147,46,42,Tembok,10,12343A,4,12,27,2022,Laris
787147,80,75,Beton 6mm,11,15372A,5,12,27,2022,Laris
787147,3,1,Balok (ukuran tebal 6-8 cm dan lebar 12 -15 cm),12,12222A,2,12,27,2022,Laris
787147,96,89,"PVC RUCIKA type AW 3/4""",13,10003B,7,12,27,2022,Laris
787147,1,0,Biasa dia. 19 s/d 16 ( 5 cm ),14,10032B,1,12,27,2022,Laris
787147,937,933,Biasa,15,11111A,4,12,27,2022,Laris
787147,31,26,sarung tangan kain ,16,17381A,5,12,27,2022,Laris
787147,67,64,Gembok Besar,17,12713A,3,12,27,2022,Laris
787147,105,98,Miniroller Ace Oldfields Panjang dan Pendek,18,13820A,7,12,27,2022,Sangat Laris
787148,375,367,Keramik  Natural Intan 14.5 / m2,19,32841A,8,12,29,2022,Sangat Laris
787148,12,3,gulung besi,20,11101A,9,12,29,2022,Sangat Laris
787148,220,216,Triplek 3mm,21,13041A,4,12,29,2022,Sangat Laris
787148,22,16,Tiga Roda,22,10006B,6,12,29,2022,Sangat Laris
787148,111,103,Dextone Epoxy Adhesives,23,13221A,8,12,29,2022,Sangat Laris
787148,7,5,Zehn Cangcul,24,12214A,2,12,29,2022,Sangat Laris
787148,100,88,biasa (30 X 15) cm,19,10002B,12,12,29,2022,Sangat Laris
787148,224,223,Gresik,36,12111A,1,12,29,2022,Sangat Laris
787148,216,213,Triplek 3mm,37,13041A,3,12,29,2022,Sangat Laris
787148,135,121,Jabesmen Gelombang Kecil (150 x 105),38,15283A,14,12,29,2022,Sangat Laris
787148,64,59,Gembok Besar,17,12713A,5,12,29,2022,Laris
787148,26,20,sarung tangan kain ,39,17381A,6,12,29,2022,Sangat Laris
787148,56,48,Gembok Besar,17,12713A,8,12,29,2022,Laris
787148,40,33,Natural 8cm,40,12345A,7,12,29,2022,Sangat Laris
787148,2,1,gulung besi,41,11101A,1,12,29,2022,Tidak Laris
787148,10,6,Granit,19,28391C,4,12,29,2022,Sangat Laris
787148,135,131,Vinillex,42,12211A,4,12,29,2022,Tidak Laris
787148,98,95,Miniroller Ace Oldfields Panjang dan Pendek,43,13820A,3,12,29,2022,Tidak Laris
787148,3,1,BJLS 30 Lebar 60cm,44,12947A,2,12,29,2022,Tidak Laris
787148,24,11,Pintu Unilon Standard,45,19316A,13,12,29,2022,Tidak Laris
787148,249,235, 2 Slaag Kuda Terbang,46,10028B,14,12,29,2022,Tidak Laris
787148,550,536,Stud Bolt,47,10033B,14,12,29,2022,Tidak Laris
787148,131,114,Vinillex,42,12211A,17,12,29,2022,Tidak Laris
